BehaviorSpace results (NetLogo 7.0.3),Table version 2.0,,,,,,
Wolf_Sheep_Predation_simpler.nlogox,,,,,,,
experiment_100_100,,,,,,,
07/31/2026 16:03:50:229 -0300,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-25,25,,,,
[run number],sheep-reproduce,wolf-reproduce,grass-regrowth-time,[step],land_with_grass,count sheep,count wolves
4,4,4,175,1500,44.36755094,22,0
5,4,4,175,1500,59.63091118800461,22,0
6,4,4,175,1500,69.51172625913111,49,0
3,4,4,150,1500,53.36409073433295,22,0
7,4,4,200,1500,36.44752018454441,10,0
2,4,4,150,1500,60.207612456747405,16,0
1,4,4,150,1500,66.12841215,42,0
13,4,4,250,134,51.249519415609385,0,0
14,4,4,250,168,57.554786620530564,0,0
11,4,4,225,1500,56.47827758554402,5,0
8,4,4,200,1500,42.98346789696271,30,0
10,4,4,225,1500,45.905420991926185,36,0
9,4,4,200,1500,69.39638600538254,14,0
12,4,4,225,1500,46.05920799692426,42,0
15,4,4,250,1500,88.65820838139177,2,0
16,4,6,150,1500,43.483275663206456,16,0
23,4,6,200,234,85.08266051518646,0,0
20,4,6,175,1500,72.62591311034218,21,0
17,4,6,150,1500,58.861976163014226,41,0
19,4,6,175,1500,40.90734332948866,24,0
21,4,6,175,1500,68.51211073,18,0
22,4,6,200,1500,68.66589773164168,35,0
18,4,6,150,1500,58.63129565551711,50,0
26,4,6,225,224,65.78239138792772,0,0
27,4,6,225,215,64.39830834294501,0,0
24,4,6,200,1500,56.824298346789696,32,0
25,4,6,225,1500,60.207612456747405,22,0
28,4,6,250,1500,71.51095732410612,17,0
29,4,6,250,1500,65.24413687043445,12,0
30,4,6,250,1500,34.94809688581315,25,0
32,4,8,150,1500,75.62475970780469,13,0
31,4,8,150,1500,45.36716647443291,33,0
33,4,8,150,1500,47.28950403690888,59,0
40,4,8,225,192,62.091503267973856,0,0
41,4,8,225,212,71.97231833910034,0,0
38,4,8,200,1204,50.711264898116106,0,0
34,4,8,175,1500,65.32103037293349,21,0
35,4,8,175,1500,55.90157631680123,28,0
36,4,8,175,1500,63.39869281045752,2,0
37,4,8,200,1500,76.85505574778931,8,0
39,4,8,200,1500,51.55709342560554,19,0
42,4,8,225,1500,61.28412149173395,19,0
43,4,8,250,1500,82.50672818146866,23,0
45,4,8,250,1500,32.67973856,30,0
44,4,8,250,1500,72.12610534409842,23,0
46,4,10,150,1500,57.74702037677816,13,0
47,4,10,150,1500,40.79200308,60,0
48,4,10,150,1500,60.70742022299116,25,0
55,4,10,225,549,38.25451749327182,0,0
56,4,10,225,117,53.40253748558247,0,0
50,4,10,175,1500,69.70396002,29,0
49,4,10,175,1500,46.75124951941561,37,0
51,4,10,175,1500,64.09073433294887,17,0
52,4,10,200,1500,83.81391772395233,11,0
53,4,10,200,1500,46.32833525567089,29,0
54,4,10,200,1500,61.05344098423683,22,0
60,4,10,250,220,61.43790849673203,0,0
57,4,10,225,1500,37.831603229527104,55,0
58,4,10,250,1500,65.12879661668589,37,0
59,4,10,250,1500,67.89696271,13,0
61,4,12,150,1500,69.47327950788159,20,0
62,4,12,150,1500,41.061130334486734,53,0
63,4,12,150,1500,69.39638600538254,28,0
64,4,12,175,1500,78.58515955401768,6,0
65,4,12,175,1500,56.978085351787776,34,0
66,4,12,175,1230,89.81161091887735,0,0
73,4,12,250,119,46.02076124567474,0,0
67,4,12,200,1500,44.05997693194925,25,0
68,4,12,200,1500,50.59592464436755,49,0
69,4,12,200,1500,42.98346789696271,28,0
71,4,12,225,1500,74.89427143406382,32,0
70,4,12,225,1500,69.28104575163398,15,0
72,4,12,225,901,46.48212226066897,0,0
75,4,12,250,1500,67.78162245290272,24,0
74,4,12,250,1500,33.71780084582853,40,0
76,4,14,150,1500,49.71164937,38,0
77,4,14,150,1500,74.58669742406767,16,0
78,4,14,150,1500,57.59323337178009,31,0
80,4,14,175,1500,34.525182622068435,24,0
84,4,14,200,168,66.66666666666667,0,0
79,4,14,175,1500,52.78738946559016,35,0
87,4,14,225,511,56.70895809304114,0,0
81,4,14,175,1500,72.62591311034218,24,0
82,4,14,200,1500,53.78700499807766,31,0
83,4,14,200,1500,57.01653210303729,17,0
89,4,14,250,691,35.44790465,0,0
85,4,14,225,1500,47.327950788158404,19,0
88,4,14,250,1500,64.97500961168781,19,0
86,4,14,225,1500,58.90042291426374,16,0
90,4,14,250,1500,33.102652825836216,19,0
91,4,16,150,1500,52.17224144559785,48,0
93,4,16,150,1500,40.023068050749714,40,0
92,4,16,150,1500,61.630142252979624,46,0
94,4,16,175,1500,48.05843906189927,36,0
95,4,16,175,1500,57.17031910803537,27,0
102,4,16,225,238,76.70126874279123,0,0
96,4,16,175,1500,57.17031910803537,38,0
97,4,16,200,1500,51.67243367935409,14,0
105,4,16,250,138,51.90311418685121,0,0
98,4,16,200,1500,41.63783160322953,32,0
99,4,16,200,1500,37.06266820453671,36,0
100,4,16,225,1500,43.021914648212224,44,0
101,4,16,225,1500,52.63360246059208,19,0
103,4,16,250,1410,88.81199538638985,0,0
104,4,16,250,1500,30.44982698961938,11,0
106,4,18,150,1500,56.824298346789696,31,0
107,4,18,150,1500,50.98039215686274,18,0
109,4,18,175,1500,56.70895809304114,35,0
108,4,18,150,1500,58.36216839677047,33,0
110,4,18,175,1500,62.47597078046905,10,0
111,4,18,175,1500,50.403690888119954,39,0
113,4,18,200,1500,47.712418300653596,31,0
112,4,18,200,1500,63.55247981545559,11,0
118,4,18,250,198,56.24759707804691,0,0
114,4,18,200,1500,41.061130334486734,39,0
120,4,18,250,305,89.61937716262976,0,0
115,4,18,225,1500,50.51903114186851,12,0
116,4,18,225,1500,40.561322568242986,33,0
117,4,18,225,1500,63.32179930795848,11,0
119,4,18,250,1500,46.943483275663205,19,0
121,4,20,150,1500,60.59207997,36,0
128,4,20,200,187,67.39715494040753,0,0
123,4,20,150,1500,38.25451749327182,29,0
122,4,20,150,1500,51.59554017685505,48,0
124,4,20,175,1500,62.091503267973856,25,0
130,4,20,225,226,66.20530565167243,0,0
125,4,20,175,1480,63.82160707420223,0,0
126,4,20,175,1500,50.55747789311803,52,0
129,4,20,200,557,52.672049211841596,0,0
127,4,20,200,1500,58.70818915801615,23,0
131,4,20,225,991,75.93233371780084,0,0
134,4,20,250,1035,53.01806997308727,0,0
133,4,20,250,1500,74.89427143406382,21,0
132,4,20,225,1500,40.06151480199923,23,0
135,4,20,250,1500,53.63321799307958,10,0
136,6,4,150,1500,57.74702037677816,23,0
137,6,4,150,1500,38.446751249519416,29,0
144,6,4,200,199,62.014609765474816,0,0
145,6,4,225,209,53.21030372933487,0,0
138,6,4,150,1500,40.86889657823914,53,0
139,6,4,175,1500,42.445213379469436,55,0
148,6,4,250,93,40.83044982698962,0,0
146,6,4,225,588,82.23760092272202,0,0
147,6,4,225,533,24.99038831218762,0,0
140,6,4,175,1500,66.16685890042291,20,0
141,6,4,175,1500,68.01230296039985,13,0
142,6,4,200,1500,64.97500961168781,16,0
143,6,4,200,1500,43.98308342945021,39,0
149,6,4,250,723,26.528258362168398,0,0
150,6,4,250,517,33.333333333333336,0,0
156,6,6,175,88,48.86582083813918,0,0
158,6,6,200,142,44.59823144944252,0,0
151,6,6,150,1500,36.8319877,19,0
152,6,6,150,1500,67.89696271,27,0
153,6,6,150,1500,43.75240292195309,44,0
160,6,6,225,116,51.095732410611305,0,0
161,6,6,225,122,48.67358708189158,0,0
154,6,6,175,1500,49.058054594386775,23,0
155,6,6,175,1500,62.62975778546713,58,0
157,6,6,200,1500,41.753171856978085,40,0
159,6,6,200,1500,76.27835447904653,27,0
162,6,6,225,1053,58.20838139,0,0
165,6,6,250,1420,63.86005382545175,0,0
163,6,6,250,1500,51.51864667435602,20,0
164,6,6,250,1500,46.943483275663205,15,0
167,6,8,150,1500,31.064975009611686,74,0
166,6,8,150,1500,57.36255286428297,28,0
168,6,8,150,1500,33.333333333333336,36,0
171,6,8,175,451,52.71049596309112,0,0
170,6,8,175,478,76.816609,0,0
176,6,8,225,149,56.209150326797385,0,0
178,6,8,250,105,46.52056901191849,0,0
169,6,8,175,1311,49.48096885813149,0,0
175,6,8,225,532,28.642829680891964,0,0
180,6,8,250,223,59.40023068,0,0
179,6,8,250,626,37.21645520953479,0,0
172,6,8,200,1500,32.795078815840064,19,0
173,6,8,200,1500,43.36793541,35,0
185,6,10,175,155,62.78354479046521,0,0
177,6,8,225,1352,45.71318723567858,0,0
174,6,8,200,1500,32.718185313341024,30,0
186,6,10,175,144,51.63398692810458,0,0
189,6,10,200,201,70.51134179,0,0
182,6,10,150,1500,34.525182622068435,39,0
181,6,10,150,1500,29.52710495963091,29,0
183,6,10,150,1500,65.55171088,27,0
188,6,10,200,873,50.21145713187236,0,0
193,6,10,250,255,71.31872356785851,0,0
184,6,10,175,1500,34.87120338331411,38,0
194,6,10,250,249,65.43637062668205,0,0
191,6,10,225,610,35.90926566705114,0,0
195,6,10,250,162,56.32449058054594,0,0
187,6,10,200,1500,53.71011149557862,37,0
190,6,10,225,1500,55.47866205305652,42,0
192,6,10,225,1500,47.52018454,36,0
201,6,12,175,486,52.133794694348325,0,0
203,6,12,200,133,52.364475201845444,0,0
196,6,12,150,1500,56.32449058054594,30,0
197,6,12,150,1500,40.67666282199154,86,0
205,6,12,225,204,60.438292964244525,0,0
