"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_400_400"
"07/31/2026 17:21:17:390 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","sheep-reproduce","wolf-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"7","4","4","200","74","40.330642060745866","0","0"
"5","4","4","175","83","45.55940023068051","0","0"
"4","4","4","175","86","46.67435601691657","0","0"
"3","4","4","150","93","52.63360246059208","0","0"
"1","4","4","150","101","55.94002306805075","0","0"
"9","4","4","200","72","41.983852364475204","0","0"
"11","4","4","225","70","35.947712418300654","0","0"
"10","4","4","225","80","40.36908881199539","0","0"
"12","4","4","225","96","44.32910419069589","0","0"
"8","4","4","200","179","65.28258362168397","0","0"
"13","4","4","250","70","40.44598231449442","0","0"
"15","4","4","250","68","35.75547866205306","0","0"
"14","4","4","250","81","37.52402921953095","0","0"
"16","4","6","150","88","52.8642829680892","0","0"
"20","4","6","175","64","39.869281045751634","0","0"
"19","4","6","175","124","52.902729719338716","0","0"
"23","4","6","200","73","44.7520184544406","0","0"
"21","4","6","175","153","63.1680123029604","0","0"
"24","4","6","200","63","38.83121876201461","0","0"
"26","4","6","225","69","37.831603229527104","0","0"
"25","4","6","225","149","54.863514033064206","0","0"
"27","4","6","225","59","37.37024221453287","0","0"
"28","4","6","250","109","42.21453287197232","0","0"
"29","4","6","250","75","37.10111495578624","0","0"
"30","4","6","250","203","61.24567474048443","0","0"
"6","4","4","175","1500","53.09496347558631","18","0"
"2","4","4","150","1500","63.975394079200306","27","0"
"17","4","6","150","1500","52.55670895809304","39","0"
"33","4","8","150","76","46.75124951941561","0","0"
"34","4","8","175","70","43.44482891195694","0","0"
"18","4","6","150","1500","64.3598615916955","22","0"
"35","4","8","175","158","66.55132641291812","0","0"
"36","4","8","175","90","50.44213763936947","0","0"
"38","4","8","200","67","37.0242214532872","0","0"
"37","4","8","200","138","56.978085351787776","0","0"
"22","4","6","200","1500","30.642060745866974","12","0"
